dataset,method,trustworthiness,continuity,score,silhouette_avg,silhouette_worst_10
cnae9,t-SNE,0.8346929583599368,1.0012769685360892,0.9179849634480131,0.15763568878173828,"[707, 698, 329, 599, 463, 752, 994, 969, 78, 995]"
cnae9,UMAP,0.8121949257823907,1.001556119797467,0.9068755227899288,0.16345161199569702,"[485, 707, 329, 698, 969, 599, 78, 855, 825, 406]"
cnae9,Isomap,0.6923245776847273,1.0024056998332023,0.8473651387589648,-0.043262891471385956,"[707, 329, 698, 455, 634, 383, 753, 78, 548, 149]"
cnae9,MDS,0.6158106522933464,1.0025246113412625,0.8091676318173044,-0.0831977747574183,"[143, 387, 734, 485, 1057, 674, 570, 257, 28, 426]"
cnae9,t-SNE × UMAP,0.8215989576373113,1.0015292688117758,0.9115641132245436,0.08906278014183044,"[855, 463, 485, 148, 950, 68, 149, 904, 321, 15]"
cnae9,t-SNE × Isomap,0.827873302943462,1.0015663899901506,0.9147198464668063,0.049442704766988754,"[463, 485, 855, 68, 149, 15, 950, 321, 213, 438]"
cnae9,t-SNE × MDS,0.8227796585841487,1.0017536044664201,0.9122666315252844,0.04217541732768629,"[463, 485, 68, 149, 950, 855, 321, 15, 753, 438]"
cnae9,UMAP × Isomap,0.7885596240367054,1.0018732583980479,0.8952164412173766,-0.1385202258825302,"[931, 805, 977, 752, 995, 815, 590, 734, 293, 121]"
cnae9,UMAP × MDS,0.7535575699981687,1.0021692379269553,0.877863403962562,0.013841223141327477,"[455, 707, 698, 329, 599, 896, 887, 675, 846, 725]"
cnae9,Isomap × MDS,0.6184967407605386,1.002554184546701,0.8105254626536198,-0.0865795723847413,"[490, 904, 175, 589, 328, 391, 373, 121, 940, 472]"
dermatology,t-SNE,0.9940883938579791,1.0021973915983133,0.9981428927281462,-0.1069122701883316,"[80, 31, 1, 13, 33, 116, 39, 34, 112, 126]"
dermatology,UMAP,0.99246036688433,1.002591053858335,0.9975257103713324,0.08163711428642273,"[13, 1, 80, 31, 33, 116, 39, 112, 219, 27]"
dermatology,Isomap,0.9888729249328327,1.004030033983951,0.9964514794583919,-0.033106528739195576,"[80, 31, 13, 1, 33, 116, 39, 138, 52, 34]"
dermatology,MDS,0.986475366083661,1.0034784620038075,0.9949769140437343,-0.0633050970747711,"[1, 13, 80, 31, 116, 33, 39, 34, 112, 108]"
dermatology,t-SNE × UMAP,0.9909680088251517,1.0033183282031208,0.9971431685141363,-0.0625537559390068,"[13, 1, 80, 31, 33, 116, 39, 172, 120, 95]"
dermatology,t-SNE × Isomap,0.9902696475277121,1.002544348166468,0.99640699784709,0.007275761703933692,"[31, 80, 13, 1, 39, 33, 116, 112, 19, 27]"
dermatology,t-SNE × MDS,0.982965766951942,1.0033094318808604,0.9931375994164012,-0.12429218416353874,"[13, 31, 39, 33, 170, 34, 112, 190, 138, 19]"
dermatology,UMAP × Isomap,0.9837352988274647,1.0044881945803605,0.9941117467039127,-0.05614412577568189,"[13, 1, 31, 80, 33, 116, 39, 34, 126, 71]"
dermatology,UMAP × MDS,0.9762512677259221,1.0041323416899455,0.9901918047079338,-0.041186997530070456,"[13, 31, 33, 39, 103, 255, 34, 38, 98, 132]"
dermatology,Isomap × MDS,0.9557563653185773,1.0062274255822643,0.9809918954504209,-0.1132312178093055,"[13, 31, 33, 39, 47, 54, 210, 209, 140, 250]"
har,t-SNE,0.9752022829652777,1.0014716857540176,0.9883369843596477,0.27845871448516846,"[724, 383, 326, 580, 726, 212, 214, 575, 421, 407]"
har,UMAP,0.9641407470644138,1.0019538359937503,0.983047291529082,0.2857796251773834,"[81, 663, 552, 127, 575, 407, 421, 662, 659, 478]"
har,Isomap,0.9200100403223641,1.0032942458751457,0.9616521430987549,0.11674092710018158,"[230, 724, 580, 212, 383, 488, 662, 407, 326, 283]"
