dataset,method,trustworthiness,continuity,score,silhouette_avg,silhouette_worst_10
weather,UMAP × Isomap,0.9016591351387011,1.0050939516882718,0.9533765434134864,0.1923098600992871,"[177, 268, 291, 275, 288, 179, 176, 280, 259, 258]"
weather,UMAP × MDS,0.9370430231663204,1.0049048388692812,0.9709739310178007,0.1541167415017368,"[240, 31, 114, 101, 35, 34, 20, 40, 105, 41]"
weather,Isomap × MDS,0.9378610460577674,1.0043320029466416,0.9710965245022045,0.2024401889746835,"[178, 175, 177, 40, 176, 171, 149, 180, 114, 181]"
world12d,t-SNE,0.994093796458981,1.0023651844843897,0.9982294904716853,0.009502221830189228,"[73, 61, 109, 138, 127, 134, 132, 141, 149, 43]"
world12d,UMAP,0.9794026219759427,1.0035139883768076,0.9914583051763752,0.030246198177337646,"[61, 73, 91, 127, 109, 134, 138, 149, 132, 85]"
world12d,Isomap,0.9941073117988918,1.002993647790242,0.9985504797945668,-0.13603996321962464,"[92, 109, 91, 97, 104, 93, 98, 101, 88, 105]"
world12d,MDS,0.994992566563049,1.0024665495337208,0.9987295580483849,-0.17325689127524987,"[109, 91, 92, 97, 104, 93, 101, 88, 98, 105]"
world12d,t-SNE × UMAP,0.9841870523043654,1.0038721448844439,0.9940295985944047,-0.07153549045324326,"[109, 73, 61, 85, 116, 110, 136, 91, 143, 146]"
world12d,t-SNE × Isomap,0.9862954453304501,1.0040748749831059,0.995185160156778,-0.1295389310825563,"[109, 97, 99, 108, 91, 106, 95, 100, 88, 92]"
world12d,t-SNE × MDS,0.9447763211244763,1.009203946479254,0.9769901338018652,-0.25944020180776994,"[109, 97, 91, 106, 95, 108, 105, 96, 92, 102]"
world12d,UMAP × Isomap,0.9689214758751182,1.0082849033653196,0.988603189620219,-0.28244692142574906,"[109, 92, 98, 93, 88, 101, 97, 105, 104, 96]"
world12d,UMAP × MDS,0.9311393431544803,1.0104338424111365,0.9707865927828084,-0.3129666429935182,"[109, 97, 96, 101, 104, 93, 88, 92, 106, 91]"
world12d,Isomap × MDS,0.9014393837005,1.010690633869442,0.9560650087849709,-0.30554147916480856,"[106, 95, 96, 91, 98, 97, 108, 92, 93, 101]"
